1,27,10,43
2,32,5,39
3,32,6,38
4,30,3,40
5,28,6,42
6,32,4,39
7,31,5,42
8,28,9,41
9,26,11,44
10,25,13,43
11,28,7,40
12,31,4,40
13,32,6,39
14,29,3,39
15,35,12,36
16,34,13,37
17,25,16,45
18,26,12,43
19,34,14,43
20,33,12,43
21,35,16,44
22,28,9,38
23,26,13,36
24,33,11,37
25,32,7,42
26,30,5,41
27,26,12,44
28,25,11,43
29,33,13,37
30,34,14,36
31,33,14,36
1,27,14,44
2,28,5,40
3,34,11,40
4,31,5,42
5,35,13,39
6,33,3,38
7,25,16,36
8,34,15,39
9,32,15,39
10,32,12,39
11,35,14,44
12,25,10,36
13,35,4,45
14,27,4,45
15,33,11,36
16,32,10,40
17,26,5,37
18,28,6,44
19,32,12,38
20,26,10,40
21,31,15,37
22,35,12,38
23,31,11,37
24,25,16,45
25,34,5,40
26,25,16,41
27,29,10,36
28,25,5,42
29,35,4,43
30,31,3,40
1,28,16,43
2,32,8,36
3,26,6,39
4,35,7,40
5,25,4,41
6,30,3,36
7,33,12,45
8,25,5,42
9,27,15,43
10,29,11,43
11,34,5,37
12,33,10,37
13,34,15,42
14,32,6,37
15,25,4,43
16,35,13,42
17,34,9,42
18,26,14,38
19,27,13,42
20,30,3,45
21,34,8,43
22,27,12,39
23,32,3,44
24,26,9,41
25,35,5,37
26,29,4,36
27,29,14,42
28,26,4,41
29,26,10,38
30,29,10,38
31,26,5,45
